participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P048,0,39.52,28.95,41.5,44.45,43.13,46.47,55.63,29.25,38.24,49.0,31.88,46.0,43.84,46.32,39.63,39.94,42.7,31.19,40.7,47.08
P049,1,40.31,35.8,43.18,47.58,41.32,46.52,52.82,41.99,37.86,37.82,49.77,46.25,45.13,55.1,29.58,44.89,53.63,42.28,42.29,42.88
P050,1,42.98,56.65,60.14,51.51,51.64,54.06,51.0,46.85,49.11,54.92,42.66,45.12,58.34,52.56,38.82,59.56,47.79,55.54,50.28,60.7
P051,0,49.78,35.63,42.95,38.52,28.09,48.45,52.42,42.6,45.77,39.17,52.78,33.5,44.89,51.44,54.21,29.48,46.11,41.02,47.65,50.76
P052,0,50.88,59.83,38.42,47.38,43.56,43.33,46.25,41.57,43.26,41.4,25.84,45.32,38.06,56.78,38.18,39.58,33.53,48.34,44.2,53.98
P053,0,42.82,52.61,50.67,39.8,52.43,48.1,56.09,66.78,45.06,52.87,45.57,43.59,48.83,56.23,50.78,50.01,56.31,48.22,49.46,45.92
P054,0,45.51,53.05,58.19,48.38,46.62,47.79,49.32,77.85,56.1,39.49,41.92,50.29,30.28,56.28,44.52,44.62,54.0,35.81,54.03,46.87
P055,1,50.62,43.4,36.22,36.45,39.16,49.07,56.82,60.79,57.61,41.8,49.97,46.2,35.35,56.77,35.01,56.9,46.9,34.55,43.17,37.1
P056,1,37.85,34.96,44.91,43.47,48.71,55.6,59.5,38.66,34.73,35.12,44.66,37.82,43.82,37.64,55.55,33.09,41.71,43.87,47.68,37.83
P057,0,50.52,71.12,56.95,45.17,62.78,57.84,43.32,58.93,60.98,59.68,55.43,59.02,61.46,53.74,61.48,48.51,62.62,57.84,55.69,52.07
P058,0,57.57,42.72,52.58,54.32,58.31,53.36,47.06,61.49,38.2,43.67,59.24,56.69,51.48,46.96,47.9,56.07,41.01,59.19,45.84,68.85
P059,1,47.43,52.25,54.95,64.1,50.73,59.7,44.64,55.29,49.92,56.36,42.72,37.33,55.65,69.24,60.26,37.27,41.48,48.76,59.4,56.44
P060,1,77.78,48.48,48.89,45.72,34.71,34.65,34.35,34.15,38.17,35.32,49.37,43.71,36.37,39.13,46.98,60.89,46.14,46.97,51.34,37.21
P061,0,61.0,66.3,56.6,38.07,61.94,52.79,49.99,56.37,53.96,61.24,44.78,43.64,44.44,53.25,51.35,59.18,55.91,53.25,53.51,57.62
P062,0,51.67,48.69,36.52,41.72,50.13,34.68,37.07,52.93,45.57,50.44,50.22,63.18,45.82,55.83,43.42,60.4,53.11,49.54,40.16,47.23
P063,1,62.82,50.52,71.03,47.57,70.8,57.15,78.22,69.48,67.63,72.52,75.59,64.75,53.73,73.58,60.04,56.58,55.8,62.31,73.7,54.03
P064,0,43.73,37.75,39.44,54.24,46.87,38.43,54.24,44.87,55.11,26.86,39.33,47.87,32.3,60.07,49.78,52.68,47.35,40.71,48.87,28.35
P065,1,56.64,39.72,52.38,41.88,44.97,35.41,44.85,47.18,46.78,41.54,34.49,47.62,53.79,39.92,39.87,54.23,31.02,36.82,33.98,42.34
P066,0,58.78,42.02,67.65,41.9,50.4,50.32,44.51,51.34,42.56,60.15,50.98,44.29,61.23,62.17,37.33,48.53,48.7,37.3,58.15,57.34
P067,1,59.25,73.1,40.0,61.17,42.27,61.3,65.55,54.01,44.41,64.03,61.13,55.73,54.5,50.49,47.86,49.58,54.33,61.94,47.64,44.81
P068,0,49.46,51.37,57.53,34.84,59.56,50.2,62.76,49.97,53.3,40.5,54.23,39.82,46.14,56.15,58.0,59.16,56.42,49.87,39.97,48.74
P069,0,34.33,35.28,26.89,29.87,29.46,18.5,38.3,41.71,34.33,28.86,29.65,34.3,27.97,22.26,31.92,39.62,25.69,38.95,32.67,34.79
P070,1,44.16,38.45,43.87,59.42,57.5,55.11,49.26,42.06,41.12,53.31,54.27,46.18,40.01,58.36,55.01,47.82,62.09,48.15,57.55,42.38
P071,0,51.05,60.37,54.61,40.43,51.43,47.5,49.81,38.38,50.17,63.87,51.1,48.8,44.1,50.88,43.15,48.97,56.09,43.57,69.29,31.24
P072,1,49.16,36.94,52.5,49.91,51.13,45.63,47.69,57.86,46.81,49.68,44.93,41.05,49.54,45.72,53.74,32.56,50.13,31.58,56.93,42.21
P073,0,61.53,44.54,59.18,49.17,47.77,60.65,59.38,57.87,48.71,71.58,55.08,50.85,41.23,41.47,55.1,56.72,61.36,41.94,48.29,53.65
P074,1,49.5,56.17,40.46,45.25,34.88,28.26,45.71,49.78,38.56,54.21,53.52,51.99,51.89,59.42,51.44,53.81,59.08,45.14,45.46,56.0
P075,1,61.51,50.37,60.97,71.37,45.09,52.17,28.48,60.01,65.78,75.72,51.26,72.18,67.0,53.16,53.81,70.73,56.38,53.15,47.96,50.72
P076,1,54.43,64.96,66.29,65.06,62.55,69.49,77.56,63.47,56.12,61.1,58.09,69.52,51.06,65.48,76.56,63.05,57.81,71.36,41.73,62.78
P077,1,47.67,60.11,64.69,60.38,59.07,68.68,47.45,53.6,64.12,60.11,55.26,50.48,64.51,71.96,43.06,40.26,58.42,68.0,61.23,46.47
P078,1,57.24,44.88,44.91,53.58,46.9,57.2,49.44,49.2,60.47,57.01,33.55,31.05,54.51,46.48,35.66,48.57,49.25,51.24,54.13,34.31
P079,0,38.44,42.7,46.98,49.55,46.05,48.46,43.9,40.89,34.93,41.4,39.08,50.68,55.41,19.01,36.48,47.05,41.51,37.69,43.03,44.23
P080,0,40.27,50.56,39.44,39.53,37.72,53.28,34.3,46.14,45.09,43.72,44.59,53.02,37.5,43.79,55.2,41.76,39.77,45.19,56.83,62.23
P081,0,63.27,46.28,38.6,48.57,39.31,41.33,35.84,35.54,55.33,46.95,63.64,40.52,54.7,41.73,39.9,49.55,51.35,32.59,59.4,39.73
P082,0,49.82,40.78,52.0,44.26,39.12,35.07,53.78,24.43,51.12,42.77,49.63,64.74,41.9,51.57,43.17,47.72,34.61,58.34,48.09,55.96
P083,0,38.62,41.65,45.62,38.07,53.22,46.48,47.89,36.87,29.51,41.29,55.83,44.11,55.37,30.43,37.34,41.82,30.79,25.18,45.68,47.51
P084,1,54.35,60.72,60.98,58.22,58.02,59.6,57.62,61.93,66.8,62.36,49.2,52.25,59.99,71.32,79.28,55.53,79.66,78.07,70.33,66.48
P085,0,57.43,57.49,57.94,66.32,70.94,67.65,67.0,55.76,36.18,64.65,55.49,43.6,68.95,58.16,46.59,52.29,54.92,63.75,68.16,58.04
P086,0,35.12,53.52,42.17,34.53,35.23,61.14,46.22,34.55,36.43,58.03,21.28,45.26,42.92,49.22,40.63,38.47,40.26,30.39,51.61,43.42
P087,1,48.18,45.76,45.13,40.67,37.8,46.31,34.0,28.73,57.54,59.97,52.64,35.5,43.73,55.96,55.86,57.62,54.89,55.62,47.06,56.82
P088,1,54.49,67.78,53.61,66.71,43.47,55.31,44.61,56.5,37.61,52.29,29.62,49.77,48.36,56.42,53.35,36.34,48.2,60.11,54.23,37.83
P089,0,43.12,54.52,76.78,63.21,58.1,48.76,52.26,51.76,49.73,44.19,57.16,51.54,43.87,54.69,34.37,44.99,53.71,41.02,55.97,42.15
P090,1,55.48,52.69,57.56,47.36,55.32,35.36,54.33,58.2,60.96,59.41,55.31,45.85,62.49,56.68,56.6,55.99,59.52,68.94,72.13,58.6
P091,1,40.06,46.33,39.07,43.31,42.13,52.66,48.83,54.85,35.45,45.87,43.93,45.78,32.01,46.29,43.01,30.34,41.89,57.1,37.39,33.8
P092,1,65.36,67.44,63.2,58.03,50.37,49.69,71.98,67.45,55.92,65.2,61.25,58.29,53.3,62.12,54.14,48.78,61.35,68.94,60.39,57.71
P093,1,49.83,49.2,42.44,48.93,37.36,22.06,38.16,55.94,55.07,57.94,31.39,46.74,44.0,48.39,49.28,46.62,42.68,25.82,47.74,55.45
P094,0,47.17,48.9,61.74,49.21,60.51,52.12,42.88,53.67,56.53,62.92,48.84,52.13,54.05,58.56,66.69,73.16,46.42,47.91,57.97,55.79
P095,1,51.92,73.16,57.47,52.75,51.03,68.91,61.0,60.45,59.88,51.74,67.97,42.79,40.56,61.16,62.0,58.5,62.84,60.27,51.88,50.48
P096,1,52.99,55.86,47.17,47.79,42.82,42.21,39.98,47.82,49.95,52.4,37.71,50.66,42.09,52.96,59.07,45.94,53.22,49.54,50.75,48.78
P097,1,51.09,54.09,71.11,55.55,52.8,63.4,56.88,51.5,61.76,57.67,61.55,53.86,64.31,53.15,69.67,46.62,72.58,56.91,66.22,64.99
P098,0,59.17,50.65,60.78,44.28,57.62,57.68,67.66,57.97,49.55,60.0,46.69,29.11,49.03,50.27,70.71,55.37,59.71,59.35,52.51,58.56
P099,1,45.44,62.54,61.03,50.4,51.6,41.97,47.45,52.2,32.03,49.86,52.5,49.05,43.08,41.77,44.05,52.27,50.19,49.88,62.86,57.86
P100,1,43.17,39.57,54.45,56.03,47.72,59.59,50.75,50.84,52.66,33.08,59.69,56.32,64.4,52.4,61.73,56.53,57.46,57.07,51.86,53.07
P101,1,57.23,55.9,55.07,50.04,43.53,53.37,57.07,49.72,52.64,54.1,50.21,61.56,61.37,49.25,48.17,56.05,58.73,68.99,50.78,51.43
P102,0,38.58,29.74,35.67,21.5,35.46,41.69,50.18,36.53,44.14,38.76,31.35,44.76,37.57,49.29,41.95,55.53,55.22,38.68,46.47,27.77
P103,0,49.18,43.64,49.06,44.66,41.75,46.15,51.51,55.56,47.17,50.0,46.95,47.35,38.22,50.38,55.95,41.87,45.51,63.17,47.21,51.54
P104,1,54.38,58.57,49.25,46.96,56.32,44.15,75.53,68.91,55.25,48.31,63.85,55.03,51.89,55.01,46.59,52.62,56.81,64.11,53.02,69.08
P105,0,56.12,44.32,38.56,55.35,54.12,67.72,56.02,73.35,58.24,50.82,57.77,64.21,52.36,57.51,43.01,60.14,79.78,56.4,62.11,58.84
P106,0,63.54,41.35,61.63,61.4,56.51,67.49,55.57,67.04,39.46,63.21,49.68,53.27,57.98,65.05,49.25,59.34,60.65,45.1,52.06,45.56
P107,1,53.28,64.78,59.71,82.72,58.56,63.44,61.87,61.2,51.55,69.5,59.46,67.66,71.39,59.98,53.27,71.4,51.01,66.55,71.67,74.52
P108,0,33.96,56.98,41.26,49.33,39.52,50.32,55.03,47.24,46.33,59.71,55.38,51.33,46.57,50.35,35.65,42.4,38.39,51.92,51.49,38.94
P109,0,45.01,67.67,39.97,51.72,65.25,43.53,55.4,69.24,50.3,51.49,52.47,54.05,46.53,55.95,60.98,59.5,44.9,49.15,75.85,53.85
P110,0,67.57,62.96,45.22,49.8,40.14,56.64,43.47,60.26,46.72,59.92,52.73,64.2,62.58,45.58,50.1,39.71,62.51,44.21,47.68,52.62
P111,0,68.27,56.86,57.32,43.51,49.49,30.89,62.2,46.29,62.15,52.47,53.09,65.93,43.18,51.98,51.81,47.07,46.06,50.88,44.47,40.21
P112,1,33.7,60.6,50.43,38.84,43.08,56.92,60.53,57.84,70.91,57.0,55.96,42.81,46.12,59.68,56.83,61.06,48.92,52.66,60.8,51.02
P113,1,44.55,61.76,47.79,34.81,41.73,33.08,46.53,56.87,45.92,52.58,47.95,62.18,53.42,43.06,45.6,42.07,48.52,50.1,33.96,45.92
P114,0,46.36,69.94,57.38,56.84,56.19,41.61,37.81,49.43,60.46,46.18,60.37,65.91,52.67,49.86,51.59,48.17,50.44,60.81,66.5,46.12
P115,1,46.74,47.7,46.26,72.34,65.14,48.2,57.95,55.66,58.8,54.46,67.94,62.23,56.94,62.22,74.22,69.16,73.71,52.68,45.68,54.42
P116,1,48.89,49.48,51.43,48.91,50.04,39.23,45.97,59.75,60.59,57.72,52.0,48.15,24.37,52.07,44.78,47.52,57.41,42.95,40.64,53.7
P117,1,55.83,56.83,43.01,39.63,34.1,48.84,39.17,60.66,53.77,54.68,56.38,46.79,65.83,55.21,50.76,42.47,36.85,42.68,53.41,59.49
P118,1,42.15,57.42,40.71,45.7,38.95,48.03,63.22,53.71,59.94,54.33,48.6,43.6,57.75,49.83,54.46,45.8,48.74,53.45,53.46,40.08
P119,0,58.28,34.2,48.27,68.55,53.51,48.49,52.85,50.57,74.29,48.21,58.83,62.37,58.46,64.12,68.88,51.48,62.28,51.27,46.36,61.2
P120,0,61.07,54.38,59.85,73.95,73.35,73.94,56.06,63.34,47.75,49.89,66.96,57.39,69.1,71.37,58.56,63.51,68.84,67.01,63.11,45.72
P121,1,36.0,31.82,59.74,60.6,42.66,37.85,28.78,42.33,63.46,39.1,30.79,29.06,44.05,28.83,29.65,61.92,59.35,52.79,28.56,48.79
P122,1,46.87,52.33,47.18,49.2,56.13,66.67,44.83,61.83,41.21,64.63,34.51,47.75,39.62,46.22,59.8,37.63,60.67,59.26,44.1,60.66
P123,1,48.41,50.67,52.42,30.0,42.15,28.36,39.27,49.35,49.13,44.15,40.98,40.38,54.32,36.41,47.78,43.73,36.98,33.1,43.78,30.25
P124,0,49.83,45.99,46.81,46.4,54.24,41.86,41.35,45.97,58.49,42.55,45.84,40.61,39.47,44.04,42.23,43.1,34.63,24.86,32.03,43.32
P125,0,49.19,47.85,43.76,40.86,43.31,50.38,53.24,43.28,51.47,30.09,55.63,45.98,36.63,52.0,35.0,39.58,42.27,34.52,43.86,49.33
P126,0,59.77,56.22,55.98,66.12,47.75,38.62,55.11,62.45,67.79,57.39,60.21,59.6,70.77,48.87,52.89,57.74,54.17,48.27,69.62,80.91
P127,1,45.31,57.55,62.31,66.65,66.97,57.03,57.94,64.96,77.49,67.96,62.17,60.39,57.77,70.2,65.92,43.0,43.79,50.05,75.84,56.81
P128,0,74.52,75.88,61.44,71.42,86.8,66.16,56.67,92.74,75.11,63.99,69.71,47.7,87.26,75.15,69.02,58.96,70.75,80.9,67.22,64.58
P129,0,59.01,60.65,46.18,48.84,51.28,37.37,36.79,56.65,46.76,57.05,45.5,40.76,44.58,61.51,64.46,50.25,44.16,41.28,49.51,50.16
P130,1,41.71,40.67,50.19,37.23,58.09,47.62,59.23,35.12,59.12,33.19,48.7,56.01,45.41,44.27,52.28,35.29,51.06,43.04,43.52,64.26
P131,1,50.56,41.29,45.51,53.65,57.73,39.41,41.84,52.13,50.93,40.24,47.74,34.81,56.25,44.12,26.13,39.1,35.22,40.11,45.82,53.6
P132,1,45.42,66.55,43.14,40.81,51.43,44.21,59.22,47.93,48.0,51.07,48.11,56.12,57.81,54.47,71.18,40.64,48.15,37.36,56.73,63.95
P133,0,50.97,68.21,48.36,63.76,31.92,53.31,57.52,54.97,59.88,38.93,46.59,48.83,49.93,34.33,56.58,48.13,50.65,54.6,51.28,53.42
P134,0,49.57,54.59,41.92,67.4,46.8,50.6,54.38,56.19,40.95,56.58,60.36,47.68,55.56,49.45,45.18,48.47,49.31,55.2,61.83,51.65
P135,0,26.24,44.02,50.95,37.66,42.7,34.51,24.94,49.12,36.34,44.96,35.49,41.78,36.37,31.38,25.21,46.61,22.14,49.64,48.05,54.36
P136,1,52.12,52.85,43.66,52.72,46.12,33.13,46.76,52.59,38.26,48.58,39.75,46.57,56.86,50.81,54.55,44.25,50.91,49.85,54.21,45.47
P137,1,43.94,48.64,59.53,64.53,46.97,58.1,40.48,37.06,50.79,50.53,52.37,49.59,50.08,40.15,49.63,36.59,48.84,25.76,51.37,57.63
P138,0,56.14,53.18,53.39,40.63,41.55,51.29,39.05,50.29,49.42,62.52,47.28,38.11,28.34,53.47,32.42,49.77,42.31,36.13,63.56,45.65
P139,1,42.15,46.97,56.18,44.39,52.05,40.74,51.21,38.76,48.0,46.71,55.47,53.15,52.7,52.04,53.74,58.45,49.92,50.97,53.08,39.42
P140,0,44.05,57.46,49.49,51.49,52.32,50.19,55.16,37.52,52.1,56.4,60.12,55.58,49.6,26.95,53.37,47.09,46.02,48.71,32.63,44.69
P141,1,39.66,38.91,80.22,50.42,57.11,24.22,42.76,50.58,42.06,52.78,43.97,42.07,45.48,52.87,40.54,46.61,41.34,51.43,42.01,40.74
P142,1,46.95,45.28,43.37,53.34,65.36,58.96,51.39,47.54,52.53,56.49,57.76,48.63,59.2,55.03,67.64,46.03,57.86,45.21,57.35,58.56
P143,1,65.56,41.88,51.34,62.45,44.42,59.12,45.06,48.21,34.19,49.02,44.18,62.07,53.38,46.89,42.26,46.21,71.93,53.32,62.2,49.66
P144,0,56.14,54.96,47.2,58.9,53.84,42.48,48.21,35.19,45.49,47.83,34.89,63.64,38.73,51.7,44.91,48.73,49.45,44.65,38.31,48.54
P145,0,39.58,39.97,36.94,41.72,43.3,48.4,35.24,49.83,35.46,36.65,32.13,49.93,55.74,36.4,35.86,42.24,33.86,53.59,47.35,37.93
P146,1,57.02,55.43,45.62,60.94,35.96,35.76,52.64,44.59,57.76,29.23,38.11,51.52,37.99,41.28,46.67,55.94,49.6,50.8,44.74,42.89
P147,1,45.77,53.83,60.01,45.13,43.8,48.82,32.93,58.92,45.3,55.49,61.24,57.58,52.71,70.87,61.06,49.36,55.96,70.31,42.64,54.63
P148,1,40.94,52.53,33.99,43.64,48.79,51.48,41.6,49.24,45.83,29.23,39.88,51.91,34.44,52.07,51.52,36.97,33.33,48.74,37.47,47.63
P149,1,56.18,37.47,56.91,56.15,51.38,55.92,55.81,38.62,37.58,48.96,45.78,61.6,32.05,39.86,47.0,48.72,41.99,41.14,47.38,50.24
P150,0,50.35,62.65,53.33,43.53,48.9,32.82,46.43,37.78,59.07,48.08,50.28,41.99,56.07,46.05,51.39,56.95,40.01,35.62,52.04,50.88
P151,1,39.2,21.11,38.84,39.7,48.71,25.69,42.12,53.29,41.87,32.52,26.27,29.61,35.25,39.74,26.68,39.09,30.71,39.48,29.38,40.15
P152,0,60.89,50.92,58.35,55.6,64.16,57.61,49.13,45.32,56.65,48.89,62.58,54.18,62.17,54.36,55.25,60.73,51.26,57.31,48.83,56.45
P153,1,58.88,40.83,62.01,62.21,59.76,57.23,48.42,58.85,65.93,48.11,63.05,42.73,47.53,46.41,49.12,63.24,38.61,52.65,52.64,71.5
P154,0,36.38,45.71,55.86,55.51,56.74,78.58,48.75,46.65,47.98,38.57,57.73,56.74,43.21,38.94,60.37,53.26,53.31,40.13,48.02,55.47
P155,0,48.24,57.01,57.36,41.77,44.79,45.55,48.59,49.85,59.41,53.88,55.57,51.95,75.86,52.92,51.91,64.29,52.46,62.59,43.94,54.29
P156,0,49.71,57.25,60.06,48.65,58.18,47.42,49.08,46.43,54.06,59.62,53.95,41.23,56.41,57.21,52.63,63.24,54.61,56.1,64.96,42.0
P157,0,42.7,44.97,34.71,30.78,51.81,38.76,53.36,38.15,49.26,29.7,50.52,49.99,35.5,47.83,40.6,49.27,35.16,32.17,43.95,52.71
P158,0,47.83,54.24,53.27,43.81,60.25,45.75,44.73,53.54,57.94,52.22,59.05,50.21,54.83,65.57,66.26,45.9,62.45,35.23,44.95,53.52
P159,0,31.58,65.99,60.23,52.81,58.16,54.0,60.68,48.02,58.36,35.32,58.32,51.22,53.54,46.72,38.29,58.61,48.55,56.72,66.15,58.22
P160,0,43.73,36.97,54.37,38.73,36.23,29.12,52.29,46.26,44.46,52.55,41.17,34.03,50.96,41.03,39.08,43.44,28.51,44.53,49.51,46.95
P161,1,38.66,52.21,54.79,56.72,49.27,44.24,55.53,59.4,65.19,51.26,53.59,65.92,45.32,53.27,50.8,52.69,52.86,57.32,48.71,62.84
P162,1,28.05,48.78,56.99,62.15,60.18,48.47,54.99,50.73,56.11,70.74,65.66,64.41,48.29,57.14,37.91,55.43,56.86,52.9,54.99,52.84
