participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P063,0,40.73,60.56,43.66,41.67,37.41,38.53,46.7,56.42,44.7,55.39,52.68,42.72,54.85,45.35,57.93,39.41,45.61,39.3,37.47,50.68
P064,0,53.76,43.65,46.56,52.43,51.02,49.21,43.33,53.56,31.77,64.91,45.25,32.1,50.39,56.52,48.07,43.01,41.68,68.06,52.44,48.68
P065,0,53.51,43.32,59.85,44.27,43.13,55.65,57.1,43.69,47.84,45.09,59.16,38.91,54.23,57.03,58.55,54.69,51.96,46.61,55.3,63.01
P066,1,48.93,38.35,42.82,52.8,50.56,59.65,51.48,53.98,38.78,43.71,43.91,52.82,45.26,54.23,48.72,30.43,44.47,40.59,46.3,44.28
P067,0,51.61,60.24,41.93,32.76,54.01,53.02,42.49,46.48,33.09,53.09,60.32,57.52,43.35,53.99,36.68,36.16,43.99,44.94,37.88,58.16
P068,0,44.15,44.26,52.11,38.6,31.77,33.64,40.72,40.17,36.37,29.26,40.21,37.52,51.24,43.09,26.31,56.9,50.52,52.8,42.14,40.79
P069,0,29.01,22.94,39.58,25.22,20.47,27.95,45.67,27.66,27.36,37.15,48.27,25.22,31.42,32.3,43.45,38.96,33.69,30.95,43.24,21.99
P070,0,64.18,50.95,66.91,44.8,60.17,45.21,57.71,50.34,68.48,46.77,47.39,61.05,48.01,38.79,50.75,57.46,51.28,41.44,51.87,43.85
P071,0,57.39,48.29,59.11,65.75,44.36,59.8,47.07,54.48,46.6,26.42,44.54,57.71,61.09,56.17,49.34,53.73,43.4,43.18,44.79,40.61
P072,0,34.39,48.67,50.65,41.83,41.01,31.31,47.74,55.66,48.16,53.49,43.59,33.34,59.78,65.62,50.2,55.77,30.62,46.21,47.41,44.32
P073,1,41.99,45.53,52.9,79.27,51.56,49.69,57.7,50.16,42.57,45.52,54.61,52.07,61.14,60.35,49.19,42.39,60.04,46.75,47.0,51.25
P074,1,35.68,44.7,43.63,32.57,48.19,44.97,47.76,41.24,42.21,35.9,39.06,43.11,34.5,64.56,27.6,40.32,56.69,38.44,43.63,25.81
P075,0,39.28,33.25,47.9,48.79,39.99,44.66,40.66,32.64,53.44,53.68,49.71,48.96,36.75,54.51,41.1,41.55,45.68,57.16,44.71,46.47
P076,0,35.99,37.12,33.97,45.55,41.35,30.77,31.83,37.89,43.39,40.84,43.46,45.98,44.99,23.51,40.0,34.86,35.29,47.52,39.9,24.71
P077,1,53.4,52.88,47.67,56.7,67.24,50.34,48.74,50.18,56.24,56.96,55.26,46.88,49.28,62.55,50.12,49.3,61.15,40.14,54.52,47.61
P078,0,45.14,45.85,67.34,53.26,52.17,27.18,54.28,40.32,54.4,33.65,45.44,25.2,37.4,33.61,51.8,45.81,41.1,39.55,43.14,33.67
P079,1,46.42,41.16,48.19,42.92,52.57,43.49,49.01,43.41,70.81,58.25,40.98,40.62,51.22,47.35,45.67,50.31,69.75,48.83,53.64,57.81
P080,0,28.98,43.12,35.24,29.0,35.75,29.3,34.53,41.96,41.28,37.47,36.37,41.54,30.04,32.63,34.54,33.51,43.3,37.3,47.55,41.4
P081,1,53.06,54.45,46.9,48.01,58.02,53.97,49.82,56.59,45.87,53.37,52.58,47.75,34.99,51.45,50.36,50.79,46.41,68.03,45.79,60.9
P082,1,60.14,51.84,64.38,50.29,65.07,62.89,71.6,57.27,59.73,58.26,53.75,60.35,51.49,59.26,59.62,53.57,48.97,55.05,44.94,50.0
P083,0,55.82,43.37,42.11,58.65,53.8,41.74,28.45,47.75,44.66,41.37,43.18,38.45,45.17,49.48,49.81,46.25,56.73,45.11,33.95,32.25
P084,1,47.89,63.86,54.7,50.91,57.58,47.68,49.52,66.08,52.29,58.38,44.93,52.53,56.09,54.15,41.93,46.19,64.6,47.1,62.19,63.09
P085,1,37.14,24.67,44.01,49.27,42.47,28.68,30.82,46.55,26.64,49.34,32.03,54.62,55.79,31.23,34.64,45.06,51.72,40.29,37.13,31.13
P086,1,46.31,49.95,59.49,52.72,49.19,52.99,50.68,54.28,60.52,55.38,36.45,49.9,56.99,50.17,53.32,55.59,44.55,60.85,52.71,48.74
P087,0,40.51,67.31,56.85,51.49,46.05,54.08,63.19,45.78,64.86,56.38,53.67,58.62,47.76,56.45,55.75,46.82,64.25,66.0,52.4,53.73
P088,1,36.44,60.74,53.98,64.08,59.12,63.0,70.54,57.98,40.64,52.53,46.06,53.91,40.35,53.89,56.75,41.3,46.69,57.18,61.43,45.02
P089,0,52.8,34.83,41.36,55.14,51.4,45.58,57.09,46.09,57.76,49.09,38.94,39.39,57.6,41.75,49.08,51.6,54.27,48.88,49.49,49.9
P090,1,47.25,42.83,48.24,43.17,49.14,61.78,40.85,43.16,61.42,48.1,38.86,48.77,50.9,52.65,49.02,41.34,59.37,53.6,37.5,53.71
P091,0,57.74,52.63,48.6,60.1,62.43,50.79,60.13,58.41,67.46,58.91,48.43,55.15,51.1,47.23,37.81,35.61,48.64,50.9,58.94,48.99
P092,0,61.25,65.6,69.08,76.75,46.6,62.0,67.68,44.73,51.91,60.69,47.91,39.52,52.0,60.74,58.74,44.14,57.47,77.89,41.95,46.83
P093,0,65.77,51.55,41.76,53.07,40.77,60.95,51.05,42.66,60.57,68.56,65.93,49.05,40.02,41.2,44.05,48.33,49.34,43.93,39.2,59.21
P094,0,45.93,55.96,42.63,44.33,55.97,55.95,60.14,66.77,60.22,62.55,58.6,51.7,55.22,62.13,57.84,52.9,57.27,61.74,61.86,64.23
P095,1,61.58,47.87,58.68,39.82,55.64,59.27,54.16,48.34,65.09,52.41,53.01,45.89,67.27,60.62,40.4,51.96,58.27,45.79,65.55,45.43
P096,0,29.07,34.89,46.86,30.42,30.25,46.11,36.33,31.45,36.96,47.59,47.33,24.71,31.05,49.54,44.51,28.83,34.69,39.58,32.67,57.16
P097,0,52.89,44.11,53.96,60.61,42.7,44.08,45.41,48.55,45.84,50.58,62.33,63.78,51.76,71.4,47.32,43.7,44.99,52.98,52.62,45.47
P098,1,60.54,50.94,58.23,51.07,46.16,42.8,47.49,43.52,53.51,57.93,48.02,29.43,39.05,58.47,48.13,62.84,44.2,52.14,54.57,47.7
P099,1,50.28,56.6,37.87,64.72,47.42,46.63,51.82,48.0,50.91,56.51,40.68,54.26,64.77,61.72,50.93,56.67,38.75,40.55,42.46,50.15
P100,0,58.44,50.88,66.08,48.0,61.15,48.56,61.55,56.38,53.41,42.59,45.85,63.55,61.04,54.05,51.99,58.75,51.53,45.99,47.16,60.92
P101,1,59.56,70.66,61.5,76.28,74.98,45.62,48.77,56.26,69.71,55.29,63.95,65.03,53.27,63.43,55.21,63.0,51.2,64.4,54.64,60.19
P102,0,69.29,42.59,47.72,46.11,55.07,47.1,64.11,46.9,51.84,57.03,63.24,52.85,44.95,54.24,47.72,56.44,74.06,41.26,57.97,46.98
P103,0,43.07,31.24,24.97,41.82,30.38,55.56,55.97,45.57,41.75,51.52,38.45,36.04,27.4,43.86,22.6,44.18,52.91,40.58,49.44,53.22
P104,1,68.37,71.94,59.85,56.62,67.45,63.36,76.49,60.8,58.78,43.38,57.26,77.06,52.93,60.55,65.1,67.58,52.94,60.53,75.43,72.61
P105,0,48.22,48.6,44.99,46.23,63.6,49.86,38.64,48.68,50.6,59.03,34.46,65.4,44.62,46.65,47.45,65.75,52.77,43.76,51.34,45.14
P106,1,63.92,49.66,46.99,50.64,44.85,65.47,48.27,45.09,53.05,67.05,44.57,47.85,45.29,42.14,54.47,56.45,57.29,43.23,50.51,47.68
P107,1,42.86,60.97,37.01,47.53,49.6,44.93,41.29,34.78,52.67,41.36,58.28,50.11,44.45,45.64,52.84,46.75,54.92,47.45,64.92,51.63
P108,0,49.51,51.89,46.85,59.4,50.38,58.62,39.84,34.84,54.83,37.88,48.86,49.62,50.89,47.89,58.16,35.49,50.83,55.21,41.77,50.95
P109,1,56.17,57.06,55.96,55.99,66.73,49.18,50.73,73.55,49.55,61.51,52.77,56.67,52.82,48.41,61.02,58.78,36.6,37.22,53.02,62.08
P110,0,51.44,38.14,62.5,39.63,63.17,36.8,52.37,51.74,44.89,37.18,40.75,48.16,60.27,46.3,48.54,34.38,40.91,50.44,45.24,57.8
P111,1,43.33,51.77,48.74,46.9,43.15,48.46,44.8,52.3,58.32,51.8,55.28,59.21,46.75,52.71,49.23,46.13,44.52,44.09,56.35,45.99
P112,1,61.92,58.35,71.89,45.36,48.15,50.27,53.36,52.43,60.91,48.22,46.94,46.07,45.45,67.52,57.44,66.32,50.08,55.09,47.7,47.47
P113,1,67.23,60.91,53.41,50.64,58.43,65.38,56.49,61.21,54.21,53.03,53.67,58.23,58.38,67.53,52.58,56.5,50.11,60.37,48.12,51.52
P114,0,39.37,47.5,38.38,46.09,54.21,47.38,31.55,66.89,52.4,54.92,45.08,65.25,56.37,47.96,61.46,45.05,46.11,51.29,61.82,64.17
P115,0,37.49,60.55,49.81,45.62,50.92,52.1,52.2,64.93,38.27,65.4,47.0,72.0,50.92,53.46,35.02,43.46,44.18,60.05,54.09,39.29
P116,1,50.23,55.85,68.02,54.75,42.4,72.36,47.99,52.17,67.54,72.86,62.8,58.42,45.19,59.99,36.38,48.3,57.77,61.3,55.42,59.5
P117,1,56.18,71.49,55.52,42.22,67.23,56.85,51.12,55.34,53.13,49.85,41.79,58.61,57.77,66.73,62.97,59.87,65.87,56.27,57.37,68.09
P118,0,62.65,60.24,53.03,54.82,67.06,39.06,45.97,70.81,55.36,59.31,60.95,57.43,57.13,56.59,49.97,54.23,50.88,58.92,61.91,70.67
P119,0,41.09,55.43,49.84,55.36,43.95,56.15,47.41,67.41,68.13,45.45,46.38,59.7,55.52,46.23,52.97,54.18,35.45,49.66,41.8,51.53
P120,1,50.19,32.76,44.38,49.08,47.13,55.76,41.29,60.7,44.1,48.48,61.8,45.41,48.77,57.19,55.8,47.98,36.42,29.01,48.41,56.46
P121,1,48.63,49.1,58.85,47.15,55.07,54.9,46.67,45.11,58.24,42.45,68.54,53.45,67.91,58.19,52.02,45.41,42.43,43.41,59.05,56.12
P122,0,38.26,40.35,45.52,51.55,54.4,44.54,44.99,47.72,31.55,47.08,51.42,62.14,29.89,45.64,56.98,42.26,40.52,54.32,44.97,28.14
P123,0,44.46,50.19,50.38,51.6,50.7,54.91,50.82,52.83,24.32,46.51,43.14,48.63,24.42,60.61,48.45,60.72,53.66,55.0,43.05,31.83
P124,0,63.1,48.04,31.76,40.28,47.37,54.43,47.77,30.51,52.95,39.3,54.55,54.35,42.14,38.72,36.4,55.79,63.07,46.14,41.33,46.4
P125,0,48.95,45.64,43.77,53.9,32.42,40.84,45.03,50.9,53.59,45.67,51.75,40.7,58.37,39.89,70.01,44.58,33.11,35.73,47.35,54.51
P126,1,41.03,44.52,60.73,37.95,39.5,56.21,50.53,60.92,50.03,42.69,44.6,40.09,50.92,40.95,47.98,50.16,51.54,37.28,27.62,55.1
P127,0,50.35,41.98,41.12,55.8,37.11,33.36,41.25,39.15,46.09,56.95,59.67,54.62,36.98,42.62,33.76,28.76,38.49,33.19,43.54,48.9
P128,0,52.63,59.13,59.71,55.78,41.98,40.25,60.05,48.53,47.81,53.54,30.48,48.96,29.21,41.74,48.18,60.72,39.61,51.44,47.68,48.31
P129,0,26.65,39.98,39.6,44.21,30.37,40.48,40.79,27.77,41.42,51.39,40.22,25.08,27.65,21.91,26.86,54.97,44.45,31.64,29.6,42.8
P130,0,48.69,53.86,36.17,52.71,46.16,56.31,60.23,41.87,56.32,58.16,34.22,50.94,71.69,63.35,54.44,31.48,60.07,35.0,39.68,42.99
P131,1,52.14,49.28,60.91,50.01,42.32,43.99,72.05,55.39,47.7,37.35,56.18,54.35,48.37,51.95,62.79,34.23,50.31,46.72,51.86,53.53
P132,1,62.1,47.41,42.89,55.81,52.15,54.48,52.82,53.59,56.09,60.78,52.29,50.37,52.1,41.3,51.1,55.38,49.0,43.24,54.3,52.26
P133,1,39.32,54.71,44.96,54.31,32.82,32.3,52.27,57.17,32.9,44.13,38.16,52.63,58.32,43.46,47.63,49.46,47.43,53.29,38.67,50.53
P134,0,64.6,48.65,53.33,54.32,74.92,55.12,67.8,57.92,51.98,57.27,67.6,65.43,57.4,68.01,54.0,61.87,62.05,73.74,59.83,52.47
P135,1,45.54,43.24,57.87,51.12,50.6,38.97,45.22,47.97,31.2,49.59,51.45,44.25,43.37,47.07,37.82,41.09,31.68,41.98,42.21,54.13
P136,1,58.97,63.02,39.67,66.84,59.09,47.1,61.12,59.22,61.06,64.02,67.81,57.43,59.57,52.52,59.22,56.51,43.8,62.47,53.14,52.33
P137,1,56.03,48.54,39.99,50.04,35.43,62.42,55.4,51.49,55.83,62.6,33.99,56.03,36.74,62.53,43.26,49.41,43.8,34.83,37.8,48.28
P138,0,52.22,38.98,55.21,52.87,58.24,62.09,53.88,46.67,45.44,56.86,55.94,40.67,58.11,59.74,58.35,56.54,48.0,59.24,49.05,42.62
P139,0,41.08,38.87,42.86,38.46,44.27,48.7,51.02,48.28,30.23,48.61,43.97,52.87,47.21,57.42,36.67,48.91,60.78,53.77,35.72,56.13
P140,1,42.35,48.57,39.0,47.87,49.86,44.97,42.74,50.54,33.52,56.57,37.16,44.2,54.24,47.54,57.35,40.01,33.15,54.73,46.5,54.49
P141,0,40.78,73.28,63.91,50.46,73.63,53.41,64.98,62.97,58.39,56.64,56.6,58.44,50.62,75.17,49.01,57.74,56.69,53.17,66.7,50.62
P142,1,61.75,57.42,54.87,59.78,49.07,65.16,62.78,63.0,56.38,57.72,66.85,68.83,71.88,73.53,47.51,60.59,68.38,53.58,68.95,61.6
P143,0,45.25,51.04,47.45,49.5,46.02,60.86,61.95,53.76,42.99,54.47,45.18,52.66,46.32,42.01,50.49,51.74,42.78,52.86,62.35,50.39
P144,1,54.66,64.55,52.47,54.96,70.24,60.98,54.56,68.13,61.16,64.41,70.01,55.83,61.16,51.23,61.51,55.85,62.54,50.66,70.51,59.57
P145,1,48.9,57.33,24.31,46.67,46.54,33.45,37.84,51.83,47.75,40.67,31.19,51.92,44.48,41.78,41.52,41.91,51.71,51.24,42.4,47.95
P146,1,55.83,71.64,49.77,44.18,48.36,56.96,54.34,60.61,66.42,64.75,45.14,44.27,56.65,46.6,50.32,50.5,65.29,64.94,58.29,64.18
P147,1,42.18,66.18,40.99,52.31,48.85,55.66,55.23,61.0,67.2,46.67,47.84,46.97,50.97,57.65,46.25,46.62,46.45,48.12,60.89,46.51
P148,1,49.1,38.95,35.87,61.47,41.6,42.5,34.85,38.97,57.98,36.56,27.71,46.64,52.22,46.54,45.15,44.66,56.56,46.62,47.59,45.55
P149,1,75.97,57.28,51.93,70.56,65.86,57.26,54.75,48.11,64.6,54.51,55.24,59.05,43.12,67.77,45.32,51.6,61.87,57.58,56.74,60.52
P150,1,56.98,64.02,38.54,50.67,51.82,48.62,52.88,38.99,45.62,50.93,61.69,65.91,47.82,55.98,43.47,58.51,63.26,57.7,38.53,55.64
P151,0,58.26,47.8,41.06,28.34,34.27,47.7,45.58,39.97,45.92,36.47,33.71,55.81,47.02,38.44,51.18,33.29,41.18,43.31,37.16,63.78
P152,0,46.42,53.76,44.17,30.68,37.74,33.68,55.64,43.83,41.71,45.81,38.84,28.54,40.69,43.89,36.53,41.18,51.44,46.2,53.92,46.01
P153,0,78.8,61.14,53.71,57.71,59.1,60.47,51.84,61.25,41.97,41.22,51.46,48.07,42.55,63.84,56.54,61.84,53.03,69.05,44.21,54.67
P154,0,52.56,58.42,38.75,63.38,59.8,48.09,33.36,49.75,48.8,37.11,40.31,51.11,44.65,41.29,43.75,54.36,57.52,55.19,45.29,35.33
P155,1,39.15,50.91,57.62,34.92,61.44,46.54,66.16,49.91,42.51,59.88,58.61,34.19,40.28,45.31,39.98,44.87,61.65,47.08,52.0,46.08
P156,0,55.25,48.05,49.89,33.47,39.88,44.49,43.69,43.29,32.05,40.25,50.65,61.24,35.19,54.86,47.87,51.05,41.13,37.93,43.84,51.25
P157,0,50.6,62.4,40.8,52.79,39.5,52.77,48.56,65.98,46.11,62.9,61.08,56.83,40.58,55.01,55.23,54.98,55.28,45.98,50.19,42.48
P158,0,58.46,55.78,49.03,48.68,53.35,47.06,36.58,60.4,43.38,54.47,49.72,49.07,62.81,58.36,38.97,57.49,51.15,39.67,54.39,56.65
P159,0,33.17,43.09,18.37,24.38,49.99,32.22,39.73,37.09,38.02,42.66,36.68,35.97,41.47,51.02,45.7,43.38,34.92,41.0,47.07,18.95
P160,1,66.08,61.0,58.08,55.28,50.33,56.65,49.58,56.43,53.09,68.75,48.41,53.25,43.3,45.49,51.91,52.1,45.41,51.79,67.47,63.81
P161,1,50.42,62.55,59.36,50.86,45.68,63.09,58.15,67.99,45.02,47.01,53.91,65.98,56.95,56.36,43.41,48.69,64.13,62.68,51.58,60.02
P162,0,51.5,48.21,53.62,62.88,40.69,50.44,51.71,45.06,38.63,31.29,50.35,58.21,65.38,60.2,60.02,46.38,52.07,50.55,60.81,49.29
