participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P026,1,48.04,55.59,65.66,48.88,42.09,59.95,60.11,49.2,46.65,50.21,50.76,61.15,53.1,69.68,47.64,52.42,57.71,42.2,60.68,55.72
P027,0,35.41,25.15,45.12,36.99,47.11,44.37,46.84,41.7,34.31,45.83,43.58,48.41,26.41,49.44,43.03,52.46,46.18,46.52,38.77,51.32
P028,0,55.99,53.59,46.95,49.83,50.5,51.49,39.06,48.2,47.42,50.4,59.02,38.1,41.38,58.19,47.78,43.58,51.47,62.04,51.21,27.81
P029,1,61.52,59.11,44.17,51.28,42.59,42.97,45.86,58.05,47.2,45.79,47.0,60.74,67.77,60.71,72.13,53.36,46.93,59.54,65.27,51.65
P030,1,42.96,57.74,47.03,48.67,47.59,53.48,47.91,44.0,34.8,48.21,71.91,45.22,49.07,61.66,45.47,61.71,38.07,46.21,45.32,49.77
P031,0,58.01,50.29,57.65,50.66,58.09,73.2,41.55,61.5,53.76,72.01,40.81,52.02,44.26,36.85,52.05,55.99,54.18,43.15,48.71,79.78
P032,0,52.71,70.05,35.63,55.61,48.8,49.36,39.79,46.08,39.12,53.75,42.15,59.68,51.91,47.29,50.93,44.98,35.35,48.78,54.97,68.3
P033,1,41.67,48.38,61.36,61.42,54.56,66.44,57.84,52.38,43.19,53.42,33.09,58.02,55.88,37.9,69.34,53.67,69.63,48.83,60.22,53.55
P034,1,61.94,70.06,65.51,59.96,66.4,56.77,74.7,54.53,71.44,58.94,49.93,59.8,70.86,74.49,52.59,69.47,58.94,69.3,56.46,57.56
P035,1,59.87,47.51,51.14,51.3,46.09,78.8,65.32,44.83,44.0,64.25,36.49,54.0,60.29,41.21,50.32,46.89,49.01,51.94,65.72,52.48
P036,1,60.26,55.85,69.77,41.89,47.88,61.19,58.83,64.36,60.39,39.91,52.69,50.7,59.04,55.23,45.98,53.4,51.41,59.4,50.09,50.18
P037,0,66.95,54.57,58.32,67.87,60.56,62.74,62.78,77.08,64.9,57.87,68.53,74.11,53.17,68.97,60.23,53.27,52.98,42.29,53.14,67.39
P038,1,48.12,29.75,28.27,44.74,42.53,44.17,35.23,44.11,46.76,46.57,31.98,39.89,40.09,37.67,46.22,37.4,43.92,37.8,44.38,37.27
P039,0,49.98,58.01,43.53,56.03,69.31,71.15,54.66,56.39,63.83,60.83,54.51,55.74,61.48,49.01,47.56,72.6,50.15,42.1,45.71,59.16
P040,1,60.32,37.99,55.8,60.57,41.91,55.53,37.63,50.83,50.27,37.57,50.06,55.05,41.68,43.55,43.37,46.77,62.58,49.39,55.6,51.42
P041,0,53.71,51.66,41.19,46.15,38.15,44.0,39.04,38.14,53.49,47.47,44.42,44.86,41.37,39.29,48.3,61.69,51.85,54.22,57.51,40.09
P042,1,40.51,39.25,64.41,48.89,40.63,59.97,46.22,44.24,55.57,46.2,52.08,51.88,39.9,42.53,39.85,39.97,40.32,33.33,53.34,45.96
P043,1,54.58,48.02,51.45,50.94,48.0,50.35,50.36,54.54,55.14,56.26,52.66,56.91,53.27,49.31,55.87,42.69,54.2,48.32,46.56,37.68
P044,0,48.73,46.53,52.08,46.72,60.77,43.24,18.02,54.54,41.28,38.17,46.41,59.35,35.37,47.1,36.72,33.94,55.76,45.34,57.25,36.98
P045,0,53.92,47.93,41.04,52.78,44.11,47.17,48.85,32.27,50.28,43.04,47.33,52.65,40.52,37.35,57.68,58.94,50.06,53.12,54.41,53.14
P046,1,38.75,37.78,43.48,47.24,53.3,34.64,47.93,46.82,46.34,43.53,30.28,61.74,41.54,40.21,35.55,39.3,46.97,40.11,51.95,48.14
P047,0,56.58,57.42,46.86,45.85,51.65,51.97,44.83,58.37,58.32,41.52,56.56,50.73,43.76,41.55,46.64,58.59,57.76,63.71,59.2,45.21
P048,1,41.0,51.24,59.75,54.46,40.77,58.65,48.28,48.35,62.44,42.69,64.44,43.49,52.85,48.46,46.2,56.41,61.77,52.18,57.08,45.22
P049,0,42.51,50.96,47.54,66.57,59.47,53.75,50.32,45.07,39.48,59.19,44.83,38.74,45.25,53.89,34.94,61.39,54.28,37.01,51.44,51.71
P050,1,59.06,55.01,43.65,58.76,63.33,46.25,58.69,58.65,55.69,48.46,48.43,41.8,56.97,72.16,66.55,51.43,73.47,64.51,55.86,51.92
P051,0,43.88,45.46,47.39,54.98,36.99,31.86,57.08,46.68,38.63,45.83,41.18,58.87,46.86,57.5,39.72,44.65,46.86,41.06,50.09,45.08
P052,1,55.04,42.24,38.08,50.64,34.75,50.16,52.75,59.34,51.83,59.0,52.37,63.58,44.45,60.15,38.69,56.14,60.79,67.14,49.55,51.78
P053,1,41.06,38.46,27.52,25.29,37.85,52.89,35.75,38.09,47.57,29.64,47.67,32.77,43.39,38.35,41.61,58.71,31.2,58.19,49.83,30.56
P054,1,60.93,55.65,36.81,50.4,60.28,61.18,49.94,50.71,64.04,48.88,48.16,57.33,58.69,56.38,50.32,43.95,44.96,42.44,51.04,64.12
P055,1,58.35,58.41,58.67,48.14,73.02,50.91,57.06,50.24,59.73,61.35,51.15,54.53,52.17,59.32,51.74,56.05,55.84,55.93,40.62,59.52
P056,0,54.47,39.26,43.87,54.29,43.41,47.96,25.01,53.18,58.45,49.88,38.83,61.9,58.26,53.75,55.68,42.47,48.46,59.75,40.45,61.05
P057,1,53.02,44.23,52.66,60.39,62.39,59.77,46.01,63.02,53.21,48.56,58.17,49.29,44.9,41.38,39.47,53.28,46.02,50.11,38.84,45.15
P058,1,53.88,38.8,42.76,55.29,54.55,61.55,39.76,52.57,61.36,47.03,32.52,56.59,40.99,59.77,56.71,63.48,59.31,56.58,59.19,54.53
P059,0,59.51,40.75,43.49,57.62,49.73,44.08,45.79,50.39,53.99,44.08,49.92,46.27,52.59,42.42,63.4,54.07,33.22,42.32,52.0,57.18
P060,0,58.63,47.5,60.8,35.08,47.1,52.47,43.67,40.01,35.01,41.57,56.92,46.54,45.53,38.46,53.11,65.14,68.71,50.39,44.34,58.92
P061,0,59.89,65.29,58.19,49.79,60.73,67.73,59.05,43.62,47.35,57.74,48.7,49.31,67.42,63.69,43.43,48.16,45.02,58.74,55.75,59.06
P062,0,62.62,63.28,53.33,66.57,49.2,69.67,69.76,63.47,71.14,56.51,54.02,60.22,64.94,75.08,62.95,58.28,58.4,64.13,57.92,55.25
P063,1,39.6,38.77,50.37,54.5,45.66,58.34,53.67,38.47,47.13,58.08,47.86,53.27,53.0,48.2,52.18,53.17,43.77,47.32,45.05,44.75
P064,0,46.66,50.89,43.45,38.81,39.39,49.15,38.51,42.19,45.08,53.74,46.42,56.13,35.67,55.19,46.83,40.73,44.85,45.7,51.69,28.41
P065,0,56.98,56.71,54.93,46.31,76.89,43.49,40.44,61.96,40.35,50.28,65.51,66.48,57.44,50.48,54.6,49.28,46.05,37.22,41.77,50.84
P066,0,50.47,57.75,51.54,54.09,50.75,49.36,29.91,38.85,31.89,44.62,57.78,47.32,45.46,48.8,63.41,50.96,51.72,47.34,40.34,37.46
P067,1,51.85,42.7,48.97,52.71,53.75,40.32,47.39,54.59,70.03,63.72,46.0,34.43,37.2,45.6,52.76,64.61,39.79,50.33,40.0,46.84
P068,0,44.37,48.86,53.5,60.16,41.39,40.55,55.9,56.68,60.32,62.57,53.4,55.86,36.96,53.71,55.87,53.63,46.08,52.75,29.2,50.49
P069,0,58.32,59.78,32.55,61.74,77.63,63.6,43.54,53.11,77.49,58.01,69.54,49.68,75.02,64.47,43.39,66.27,54.24,45.23,57.13,65.29
P070,0,44.3,45.47,58.64,67.17,40.38,67.33,53.2,48.54,46.01,48.55,40.08,42.17,56.97,46.23,46.39,50.56,58.95,51.68,56.39,49.41
P071,1,64.47,61.64,59.69,53.55,60.46,53.24,75.12,70.85,52.7,50.15,54.02,78.64,57.43,61.44,63.05,48.89,46.84,64.63,61.69,55.76
P072,1,57.98,62.19,59.37,73.57,54.24,59.15,83.33,76.76,46.77,56.86,72.58,48.56,71.16,51.53,60.81,57.86,60.54,77.52,52.3,69.59
P073,1,43.17,40.05,29.8,46.34,40.41,22.22,40.99,49.95,62.65,54.04,47.49,41.23,50.5,55.32,58.22,47.2,50.55,43.45,53.23,57.33
P074,1,49.78,67.83,56.64,56.54,57.78,48.44,47.27,48.05,48.36,34.82,45.81,56.19,57.08,65.61,51.36,67.33,51.2,65.4,42.42,62.19
P075,1,56.73,52.12,42.81,52.01,65.07,33.07,45.16,36.09,53.76,47.49,62.11,61.41,49.08,46.01,44.23,44.3,55.28,43.2,45.84,58.65
P076,1,57.88,41.98,47.45,66.17,43.38,45.19,54.56,56.55,45.85,56.25,42.22,48.83,58.63,49.8,48.76,52.73,52.2,43.81,50.18,54.45
P077,1,48.35,35.03,54.93,40.48,36.0,38.43,45.97,38.06,36.66,58.09,47.16,39.99,48.76,33.99,42.79,54.13,36.14,36.06,42.57,51.95
P078,1,37.13,41.71,51.79,56.18,37.66,62.42,56.13,56.8,56.47,55.77,43.97,53.48,53.1,35.66,65.59,43.73,30.15,40.63,43.61,46.81
P079,0,48.66,62.32,61.61,47.95,23.25,52.78,42.25,41.1,49.3,26.86,56.87,52.13,48.79,39.49,38.97,41.56,51.62,49.87,52.12,42.21
P080,0,49.65,64.82,53.4,48.75,49.96,53.01,50.93,54.6,53.09,27.55,59.34,59.44,49.88,54.7,68.28,57.18,46.42,42.7,46.07,43.47
P081,1,43.0,65.46,43.76,47.88,51.32,55.94,54.36,25.94,56.46,35.35,26.22,51.55,47.38,46.89,63.6,56.09,45.48,60.97,42.93,48.46
P082,0,57.22,50.53,46.5,52.58,53.47,41.4,52.15,46.63,53.33,35.37,49.33,47.25,57.27,52.54,58.4,47.04,60.88,59.54,32.69,36.85
P083,0,51.12,57.63,45.91,41.35,46.73,48.98,62.52,33.43,58.67,51.08,42.14,50.17,39.24,54.65,40.01,57.47,35.4,43.69,55.08,42.32
P084,0,54.13,32.06,34.36,61.43,55.72,53.48,40.08,41.23,36.3,44.56,46.18,62.12,34.07,54.29,52.38,61.05,60.04,43.09,39.7,51.97
P085,1,39.43,62.35,53.42,33.23,51.7,51.68,57.32,49.51,50.06,52.37,66.01,45.82,41.52,51.93,53.22,52.51,37.71,52.55,61.73,48.01
P086,1,40.91,46.6,44.53,50.54,50.21,50.66,52.34,60.1,49.93,46.75,54.43,36.33,42.29,40.21,47.24,47.31,43.16,59.12,42.38,59.08
P087,1,55.26,52.69,54.13,40.08,67.81,56.23,65.98,44.38,58.16,76.27,56.4,54.83,51.09,34.86,42.48,47.5,59.83,72.65,52.1,64.28
P088,0,46.53,30.44,36.03,26.53,42.78,38.44,54.9,44.85,50.31,41.67,33.01,45.33,43.4,38.51,47.2,45.02,33.03,43.11,39.29,38.0
P089,0,54.64,63.52,66.0,61.03,60.77,63.65,59.08,35.59,58.2,48.64,59.33,56.78,40.07,58.51,51.46,30.44,51.92,50.53,54.39,50.98
P090,1,70.5,52.73,61.47,38.48,65.45,59.48,53.35,64.99,57.85,44.62,71.95,74.33,61.49,54.78,55.16,50.43,52.2,66.11,55.56,53.45
P091,1,63.76,53.51,54.03,45.76,58.73,48.87,62.85,58.3,47.16,49.7,49.42,52.27,62.36,53.25,50.23,66.58,47.07,45.3,35.75,47.76
P092,1,39.53,56.67,49.51,42.87,39.51,53.4,62.22,53.38,67.38,76.64,46.36,43.57,70.85,61.57,57.84,63.12,45.65,55.19,51.4,44.4
P093,1,57.06,58.14,50.03,56.55,47.02,33.11,39.41,51.31,44.62,47.48,34.82,50.74,41.9,49.4,41.11,57.81,43.57,53.1,59.56,47.92
P094,1,33.93,49.42,48.82,49.45,64.4,53.1,37.96,50.47,39.16,55.04,44.62,45.5,68.91,60.78,33.92,49.13,46.98,54.44,44.68,34.98
P095,0,39.99,65.53,41.11,42.37,65.89,50.83,27.68,51.68,37.22,43.07,49.64,31.99,45.28,50.57,51.99,49.85,46.48,40.14,44.61,44.41
P096,0,38.95,50.47,39.71,62.21,45.05,71.12,51.5,49.3,43.09,34.21,70.08,43.26,51.22,49.17,67.01,57.55,45.79,44.89,49.06,47.03
P097,1,62.4,67.77,47.1,58.76,45.65,49.66,34.02,33.88,41.71,46.43,57.02,36.54,46.09,59.6,60.98,50.83,55.99,55.8,34.18,44.82
P098,0,41.17,51.92,53.92,35.03,47.04,47.03,54.08,50.65,52.5,41.81,55.38,52.56,60.15,35.44,47.41,49.04,48.73,44.32,41.07,49.43
P099,0,43.45,44.44,50.18,45.97,63.81,36.42,40.9,57.93,50.36,44.44,52.35,59.01,63.36,40.2,36.31,56.82,38.41,56.22,52.54,61.59
P100,1,43.52,44.73,44.77,53.21,59.21,48.19,49.62,64.11,60.95,50.73,46.36,45.63,48.21,54.11,60.52,56.04,70.75,46.15,47.38,46.31
P101,0,53.01,58.36,47.46,44.62,64.07,70.07,46.87,51.92,47.99,64.02,61.79,54.78,44.52,50.56,49.69,49.57,54.69,45.2,57.1,62.9
P102,0,39.23,51.53,36.71,48.05,55.78,50.58,48.11,45.84,45.63,52.67,63.77,50.73,61.13,41.08,59.69,59.18,54.05,48.83,65.58,47.44
P103,0,46.91,46.15,52.73,46.94,46.74,63.78,51.06,52.47,50.37,52.82,39.15,63.48,57.33,58.84,61.62,55.05,42.71,38.6,41.61,55.32
P104,1,63.18,68.04,55.83,68.41,63.66,56.37,60.06,57.05,58.16,68.43,52.07,48.62,68.04,57.71,61.85,72.65,54.73,45.46,66.05,56.76
P105,0,56.37,59.43,48.66,42.68,42.37,58.78,36.28,49.94,54.6,45.22,39.25,47.03,38.78,57.03,49.03,62.91,47.7,60.97,43.75,45.62
P106,1,47.29,40.72,55.75,49.22,61.73,52.41,40.86,49.14,38.05,43.69,41.42,48.87,27.03,50.33,52.36,48.84,26.97,34.42,44.14,52.31
P107,0,53.02,38.65,44.41,45.0,51.94,46.79,44.87,44.12,58.5,65.06,38.9,37.6,54.5,54.6,59.27,48.61,59.21,49.57,36.03,51.71
P108,1,59.76,45.68,52.09,56.36,58.12,63.53,9.17,60.87,46.67,61.38,58.43,64.27,64.92,42.23,55.95,58.66,53.61,45.85,64.64,48.55
P109,0,53.99,57.12,52.45,63.46,38.16,52.86,57.42,76.37,58.77,59.09,47.88,65.25,64.7,56.05,56.96,64.89,64.59,74.72,63.96,48.03
P110,0,45.2,60.56,44.85,40.58,53.18,47.53,37.52,64.57,38.63,50.35,41.59,54.54,22.4,35.8,39.41,32.95,43.57,42.72,43.27,42.26
P111,0,54.41,48.45,53.26,38.11,58.5,51.08,54.73,21.37,45.63,41.86,41.5,47.41,44.56,53.63,48.89,41.13,52.76,66.5,29.72,50.07
P112,0,46.4,42.78,55.35,58.64,39.33,47.27,47.85,35.08,44.67,52.58,55.21,51.09,38.33,37.14,39.11,45.98,50.19,61.31,52.82,33.35
P113,1,54.44,52.18,48.03,57.34,51.25,53.51,57.38,57.2,46.85,61.28,60.76,52.28,60.22,47.42,62.72,65.51,62.41,66.97,46.49,57.09
P114,1,48.74,45.67,52.09,46.84,44.96,49.44,42.55,48.85,43.61,49.66,45.45,56.35,56.84,62.64,41.6,47.8,32.62,44.81,36.99,34.72
P115,1,50.91,57.45,60.93,54.51,47.29,53.8,59.02,48.6,59.26,43.42,47.29,70.74,51.79,41.96,45.9,53.82,47.21,49.68,51.97,42.12
P116,1,53.82,47.44,52.15,37.49,50.33,44.66,43.37,60.19,77.41,48.52,60.16,53.8,64.68,52.55,54.9,48.96,58.62,54.75,66.86,58.07
P117,0,48.58,62.56,62.8,52.72,61.64,53.02,62.57,66.79,53.72,63.78,43.84,67.06,50.91,58.3,63.62,53.47,49.64,87.06,62.31,53.71
P118,1,47.34,51.41,49.31,56.6,35.98,54.23,42.65,46.85,53.86,57.25,37.98,35.92,51.45,39.52,57.94,31.48,42.55,61.13,40.68,51.02
P119,0,49.47,54.31,60.42,49.65,60.47,61.57,47.71,53.27,52.44,54.35,61.02,53.2,59.1,62.06,47.51,39.95,40.98,49.34,68.85,56.49
P120,0,47.88,49.91,53.05,47.98,51.4,39.62,52.96,41.08,48.62,59.28,54.64,63.04,39.97,47.11,57.56,53.46,60.34,72.68,41.21,39.63
P121,0,61.67,54.09,42.62,51.9,56.01,29.5,60.82,33.11,44.33,60.62,41.83,48.9,47.2,53.07,30.99,54.27,50.35,33.33,53.64,50.12
P122,1,45.92,57.26,51.93,48.19,33.8,47.92,50.55,53.78,42.07,47.09,46.47,54.71,37.39,50.75,43.04,25.3,43.72,47.53,53.6,40.11
P123,1,55.38,39.12,50.6,52.01,46.9,53.82,33.51,44.96,42.74,30.16,43.02,42.11,51.41,55.07,58.74,60.07,41.62,56.75,50.2,45.03
P124,1,60.39,53.18,47.22,44.61,63.17,63.37,61.07,43.04,47.46,58.37,56.02,46.6,57.99,66.45,57.54,52.85,45.17,66.4,65.11,60.03
P125,1,71.67,52.2,63.12,65.12,49.88,48.23,47.39,50.06,39.92,52.87,39.19,42.67,43.17,58.13,38.18,50.54,48.92,48.43,41.93,63.96
P126,0,31.44,48.56,46.95,32.93,51.15,36.19,56.58,31.35,31.84,31.64,35.29,47.27,33.23,55.19,19.98,59.61,41.44,34.99,40.93,42.8
P127,0,47.69,60.53,53.11,42.34,51.22,62.89,57.33,55.42,46.79,55.12,46.96,65.31,61.31,36.39,56.47,55.58,46.71,37.63,52.45,54.74
P128,1,34.79,33.46,27.05,53.25,43.3,38.51,29.65,40.98,30.64,69.17,34.38,56.59,52.69,38.49,42.07,38.13,46.63,34.72,41.85,56.94
P129,0,53.93,50.09,45.48,48.36,49.48,42.36,47.36,34.28,54.81,63.85,50.04,64.02,52.85,46.12,51.2,35.21,38.64,50.64,61.13,42.02
P130,0,44.23,51.09,61.82,56.88,52.86,41.66,63.9,46.51,49.79,63.57,46.83,51.19,51.43,54.76,70.16,53.16,40.83,47.97,51.62,54.34
P131,0,67.86,44.39,65.82,61.29,60.57,65.17,62.93,70.91,61.95,60.13,76.5,52.59,68.33,46.19,52.46,62.94,75.01,57.52,68.91,37.52
P132,0,39.91,45.64,53.99,49.45,53.2,54.24,50.39,44.49,54.41,52.46,39.61,48.15,53.28,44.39,50.63,57.14,51.08,53.69,39.7,60.3
P133,0,49.14,46.42,59.75,37.42,42.44,59.83,47.96,62.83,49.19,59.45,52.48,51.0,64.83,51.38,48.33,48.08,47.89,54.14,56.79,62.73
P134,0,37.83,43.52,41.83,37.71,49.63,54.3,23.75,53.73,39.33,37.57,31.31,38.25,52.91,38.9,31.02,39.54,43.98,32.3,35.95,44.71
P135,1,36.97,39.18,51.71,51.02,48.26,39.72,48.38,50.46,41.37,48.48,37.9,44.52,52.59,48.01,50.24,37.01,38.83,48.14,46.59,46.64
P136,0,43.86,43.38,38.92,51.45,32.76,41.93,40.6,57.95,40.72,46.9,42.65,40.5,57.14,15.53,43.54,35.03,48.98,42.06,57.48,42.86
P137,0,35.23,31.6,43.38,33.25,35.44,55.78,38.67,38.76,44.02,28.85,45.93,41.2,43.62,42.65,39.3,34.28,47.8,53.29,47.09,35.67
P138,0,46.75,44.42,51.2,37.49,60.46,69.65,55.36,43.65,57.4,45.84,54.28,48.28,46.26,61.71,54.83,62.51,58.47,69.47,48.48,41.73
P139,1,47.12,44.12,55.52,42.01,45.32,34.81,43.34,50.41,54.19,43.09,49.11,40.69,52.72,34.19,45.15,53.05,40.54,57.03,40.29,58.4
P140,0,59.0,50.18,63.44,60.81,53.67,56.83,52.89,49.69,40.51,66.81,49.04,55.14,60.64,44.74,36.25,46.53,48.89,57.45,68.1,72.69
P141,1,36.17,43.91,34.81,41.21,50.4,55.93,30.99,31.47,52.14,39.63,40.66,52.48,36.95,49.46,36.23,45.76,52.39,38.53,28.79,64.5
P142,0,51.81,43.96,61.42,51.64,56.35,47.79,49.46,53.69,41.07,63.61,42.71,48.58,40.41,63.82,54.23,28.64,62.37,65.13,50.25,54.83
P143,0,39.29,56.4,59.37,58.81,37.32,52.46,43.84,49.1,46.51,50.29,48.3,41.32,49.93,37.0,42.07,47.28,52.74,52.65,56.76,58.7
P144,1,43.8,49.04,61.96,38.69,52.31,50.47,42.43,45.06,37.5,43.52,54.97,43.23,59.26,46.45,47.17,59.22,58.13,61.75,45.45,47.43
P145,1,65.98,43.91,53.94,58.7,75.73,54.42,62.6,68.11,41.93,53.07,54.62,56.45,57.42,34.98,62.84,55.19,47.37,57.23,47.43,44.97
P146,1,41.97,36.09,46.61,46.44,42.88,28.33,43.85,46.89,42.13,49.55,51.55,52.2,48.5,55.59,51.13,55.22,63.61,44.71,41.13,43.03
P147,1,60.16,54.59,36.22,44.42,51.14,54.94,57.08,38.23,49.47,53.6,47.47,51.07,40.38,52.89,39.13,52.53,51.94,40.67,33.72,51.97
P148,0,48.57,37.83,49.59,44.24,67.12,29.03,49.45,65.39,63.85,50.27,49.4,52.69,56.27,54.0,56.59,56.78,40.16,64.82,51.49,59.04
P149,0,51.27,45.9,52.31,49.2,38.09,41.86,59.93,60.48,53.6,57.04,49.0,47.01,56.79,47.56,48.38,52.29,57.4,33.77,49.84,67.0
P150,1,61.89,47.78,39.76,35.25,50.86,48.63,65.06,48.21,47.58,61.35,56.14,52.22,36.11,50.84,43.02,54.68,26.18,53.55,54.96,41.27
P151,1,42.31,48.19,64.65,51.79,65.69,47.87,50.19,50.36,46.15,44.55,42.56,40.24,47.37,46.18,34.38,35.38,61.87,58.88,62.05,30.49
P152,1,51.68,68.55,60.03,56.66,44.65,69.84,41.59,59.57,56.67,52.47,51.22,50.61,73.69,46.51,49.11,51.61,66.07,41.68,31.99,57.78
P153,0,71.66,67.93,62.98,41.42,66.93,52.15,65.59,61.33,68.29,61.54,71.09,58.2,53.82,68.88,49.0,37.09,65.04,58.18,52.95,58.9
P154,0,54.64,53.19,61.68,51.38,51.56,33.8,50.83,58.26,39.16,37.54,46.94,64.97,48.25,40.14,53.62,46.22,39.74,33.57,34.0,40.35
P155,1,64.68,69.74,60.79,61.94,68.51,66.79,74.45,53.21,71.7,73.7,64.93,66.22,79.93,56.76,62.2,49.84,72.97,79.62,77.71,60.55
P156,0,61.63,45.34,53.89,53.51,33.2,48.38,37.42,42.84,47.95,45.56,48.04,61.53,63.05,57.71,50.48,55.19,50.06,53.4,47.04,47.13
P157,0,57.06,53.22,37.65,60.75,68.09,46.87,49.16,35.44,43.58,55.58,28.66,38.5,52.33,49.08,36.58,63.27,39.63,54.95,55.81,48.39
P158,0,44.29,45.21,58.96,37.65,39.83,41.94,28.43,34.34,31.98,59.26,50.19,44.0,58.81,37.31,44.74,39.24,46.33,52.45,43.12,37.23
P159,1,41.06,42.83,36.56,59.23,54.59,55.87,48.97,55.05,50.34,63.61,46.81,58.03,37.09,45.78,43.26,40.05,53.53,44.14,43.09,39.83
P160,0,59.44,62.13,55.39,52.35,72.5,56.72,59.06,70.46,64.56,70.35,67.17,53.66,52.84,56.42,57.51,62.32,56.96,61.09,58.73,57.79
P161,1,59.42,65.74,63.25,57.61,57.27,42.23,40.65,55.2,42.43,53.63,46.59,42.66,51.62,60.93,48.64,57.26,58.64,58.0,52.38,57.3
P162,0,51.96,37.33,53.15,62.21,28.57,47.48,51.61,51.69,61.02,42.35,51.76,44.35,60.66,41.97,55.13,58.77,51.64,46.6,67.85,71.99
