participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P038,1,41.13,40.2,57.01,49.95,39.75,49.95,42.09,52.49,52.44,39.96,52.81,44.88,59.47,52.86,49.35,45.34,27.7,47.63,33.89,44.19
P039,0,75.27,50.23,49.97,57.29,52.86,66.75,65.65,49.04,49.1,52.24,43.03,49.31,53.03,59.65,50.18,51.42,40.2,46.62,55.33,50.09
P040,1,27.09,35.89,39.8,54.23,55.73,34.35,53.18,45.81,41.25,46.02,21.47,44.06,45.05,33.83,45.34,42.35,43.3,47.82,35.94,46.36
P041,0,59.38,56.26,35.13,39.39,52.17,56.4,49.07,40.58,41.02,61.53,57.0,36.23,39.5,43.75,45.84,45.56,45.06,30.89,41.73,48.22
P042,1,45.4,45.86,35.4,56.15,39.86,45.78,52.34,32.54,33.35,54.84,45.01,43.76,51.0,48.78,35.83,32.65,32.34,44.42,40.22,53.82
P043,0,49.19,69.67,61.56,43.34,60.6,62.64,74.0,50.65,50.28,37.65,50.87,50.12,51.43,37.58,52.11,55.54,67.83,42.85,47.01,37.89
P044,1,69.24,61.52,54.83,50.88,51.7,45.25,59.13,61.73,37.54,68.88,49.96,64.96,47.35,47.86,45.57,64.92,58.72,41.84,48.87,44.73
P045,0,51.27,53.14,66.19,61.78,60.79,61.4,63.03,58.44,59.0,66.67,41.45,60.47,59.83,71.2,65.31,46.67,63.02,56.28,59.5,66.31
P046,0,69.27,61.35,67.26,64.89,49.02,54.89,58.83,66.25,50.22,59.45,57.32,55.97,53.49,42.42,46.28,56.86,51.05,55.44,50.01,58.3
P047,0,45.47,59.45,40.78,46.68,24.86,46.5,41.07,43.57,39.58,46.0,58.12,44.69,54.39,42.45,50.22,52.38,53.8,50.85,66.27,48.66
P048,0,38.15,44.17,39.92,49.53,52.32,42.34,44.75,55.61,37.15,49.26,55.9,45.69,35.13,48.36,41.62,37.46,24.03,54.04,47.71,56.31
P049,1,53.42,31.73,71.65,37.51,44.29,49.4,59.51,47.38,43.02,50.87,64.48,52.17,63.05,53.94,52.44,62.65,47.13,45.53,43.57,47.75
P050,1,41.28,43.58,51.28,42.87,53.05,45.59,61.42,48.71,37.95,49.32,36.77,32.6,52.4,31.08,58.9,39.99,45.36,44.7,32.47,75.68
P051,1,50.06,54.48,64.46,46.02,36.99,41.26,37.89,37.14,56.09,40.95,59.05,46.68,51.96,28.62,56.22,52.35,41.3,74.48,48.57,31.12
P052,1,38.17,48.94,37.91,38.82,32.47,24.99,20.23,30.21,45.55,38.42,47.45,36.03,41.23,39.48,38.57,41.96,32.24,37.23,38.32,36.02
P053,0,41.41,47.15,59.41,69.78,52.56,57.07,75.71,64.42,55.56,42.8,58.34,55.07,72.94,43.57,60.59,49.26,40.65,45.64,48.2,55.03
P054,1,62.24,48.55,42.63,49.93,40.77,55.99,64.55,44.76,61.86,55.08,52.45,68.5,64.03,44.13,64.58,62.95,44.2,65.3,55.58,59.5
P055,1,50.63,61.19,51.22,63.53,58.11,43.96,63.07,60.76,62.17,53.33,52.58,72.53,53.64,62.39,55.31,63.62,55.87,44.79,78.72,43.41
P056,0,59.64,40.7,42.97,41.45,44.16,44.02,47.24,38.37,37.93,46.98,47.8,46.56,52.72,37.93,36.19,40.58,46.29,39.42,53.31,50.69
P057,0,49.16,70.28,60.54,56.42,50.3,49.55,60.37,70.44,56.6,41.93,47.26,52.52,66.66,59.21,45.88,58.4,66.62,36.47,55.43,70.37
P058,1,46.94,55.56,55.84,56.5,38.72,39.95,59.35,57.58,50.86,68.5,49.31,54.3,51.38,49.01,43.79,61.26,46.76,32.53,53.68,48.43
P059,1,58.02,52.66,36.44,47.77,59.64,36.96,49.27,64.35,53.78,45.16,32.93,49.02,50.16,56.68,61.91,44.68,39.17,32.56,60.09,51.1
P060,1,37.62,60.18,57.4,44.65,47.79,48.36,52.81,64.96,51.94,52.56,32.13,59.7,60.63,73.76,46.47,44.71,43.14,60.95,62.36,45.32
P061,0,52.19,49.74,38.2,59.84,47.86,70.73,66.07,43.3,56.76,47.94,39.7,60.39,44.39,60.19,50.69,55.65,41.92,54.29,48.66,53.93
P062,1,43.02,47.19,58.63,65.23,44.29,57.19,60.47,59.79,32.94,53.86,56.86,65.0,53.11,59.1,50.59,50.18,62.68,55.69,40.23,58.35
P063,0,55.33,45.21,50.59,62.63,48.76,57.52,50.44,50.47,50.09,68.78,69.46,57.61,45.06,39.67,55.76,46.49,54.53,60.05,61.31,45.91
P064,1,57.86,48.01,58.42,42.21,51.14,42.12,50.13,71.13,47.96,54.52,56.96,39.48,53.79,46.75,42.37,33.42,41.75,55.23,66.46,44.66
P065,1,33.37,40.61,35.08,53.52,47.86,51.51,52.57,51.92,37.88,31.78,41.41,37.82,32.63,29.16,41.35,35.18,52.58,54.97,27.54,41.79
P066,1,46.74,43.98,46.43,31.96,37.87,44.69,54.21,52.08,52.32,33.42,41.76,38.38,43.74,63.23,42.9,49.99,40.73,49.85,38.81,61.32
P067,1,54.12,57.9,38.87,60.29,63.45,60.74,59.85,80.66,65.4,58.86,46.16,66.36,60.99,62.32,58.61,67.65,58.0,64.16,56.02,52.75
P068,1,39.79,55.19,48.9,47.94,42.97,53.02,55.7,47.95,43.0,42.68,45.38,47.6,53.11,45.08,48.29,47.98,50.24,51.87,44.61,43.72
P069,0,47.3,45.0,40.66,39.27,48.96,24.25,48.08,67.27,47.35,63.58,49.75,46.91,40.59,40.41,35.52,49.52,47.88,30.36,40.41,34.69
P070,0,63.1,68.04,54.75,48.23,50.09,47.78,57.51,53.8,48.74,56.32,53.91,51.92,65.62,58.64,57.17,51.98,65.35,57.11,52.77,58.22
P071,1,44.86,77.78,56.49,49.17,52.03,62.69,55.11,47.52,53.5,36.04,57.28,65.51,47.13,46.5,49.17,48.09,47.19,52.92,49.08,52.53
P072,1,45.48,37.77,24.54,44.41,59.97,30.38,49.38,31.77,41.12,42.21,49.46,40.19,49.02,21.99,40.1,33.91,48.41,33.04,38.21,44.52
P073,0,52.91,53.19,43.14,60.92,38.33,60.77,57.36,53.3,47.36,45.07,40.82,50.22,50.46,54.11,45.98,56.41,67.64,61.8,46.1,46.85
P074,1,58.55,42.25,48.66,46.19,52.69,55.62,36.02,55.49,50.6,61.38,45.69,46.21,42.91,66.22,41.16,47.13,48.65,61.73,44.29,51.14
P075,0,44.09,50.21,49.13,32.02,40.3,53.69,52.16,32.1,41.59,32.31,44.26,32.8,33.31,35.54,43.06,48.88,43.36,36.06,49.49,28.22
P076,1,53.66,62.39,39.48,70.28,50.4,21.86,54.51,45.59,65.85,46.1,68.14,51.86,47.79,53.51,55.93,62.91,57.19,72.24,58.81,43.79
P077,0,66.2,34.85,43.27,42.4,48.29,50.49,41.75,45.82,53.69,35.47,53.79,60.86,44.31,44.57,32.26,47.49,35.36,53.16,43.64,44.59
P078,1,47.82,61.24,47.03,38.69,65.75,43.81,59.49,48.29,56.85,56.59,51.18,64.99,43.32,57.89,58.09,62.1,48.28,52.49,57.59,57.53
P079,0,48.9,39.71,48.69,59.99,48.08,52.94,43.09,50.36,48.84,53.66,51.23,44.15,52.66,51.27,53.76,57.94,44.87,64.43,60.08,50.1
P080,1,53.26,42.23,61.68,53.2,54.23,61.38,42.52,48.25,40.8,62.63,56.13,61.54,51.8,45.89,60.9,51.02,56.32,49.63,52.62,40.57
P081,0,61.14,47.36,46.74,62.42,58.04,60.68,57.48,64.81,58.71,74.33,54.53,60.06,49.28,55.24,50.69,63.02,62.19,72.1,55.98,51.01
P082,0,24.56,29.1,37.61,38.26,35.17,44.26,30.43,39.98,46.33,45.6,31.96,38.85,47.38,42.27,50.63,47.15,49.79,43.56,52.49,50.36
P083,1,56.4,69.68,50.38,44.87,41.25,55.01,49.95,45.2,49.78,60.82,49.27,45.68,42.44,60.45,56.89,45.4,58.0,63.97,50.98,54.44
P084,0,41.41,44.64,43.72,43.6,38.92,53.17,51.16,45.95,58.33,33.44,36.67,43.67,55.26,44.02,51.02,42.16,45.46,49.1,44.5,49.28
P085,1,59.45,64.54,58.36,54.32,54.89,72.03,56.52,57.18,66.33,53.54,55.38,42.73,50.94,38.31,49.09,60.73,43.23,42.41,49.79,62.81
P086,1,62.72,50.89,54.26,61.19,38.46,51.86,60.32,49.5,52.39,55.12,55.82,37.91,48.6,61.78,58.92,48.83,64.55,55.66,61.93,54.11
P087,1,57.61,45.98,46.71,48.31,55.24,49.78,39.98,51.64,55.67,53.37,41.69,32.66,28.8,38.14,52.99,52.62,58.43,45.21,39.11,48.03
P088,0,59.99,44.71,64.06,59.32,68.41,64.64,63.33,69.25,53.49,66.74,53.61,59.04,59.59,43.93,62.62,59.36,54.97,68.47,62.67,39.64
P089,0,56.77,56.56,43.27,48.31,52.27,48.22,39.63,47.79,45.9,55.04,39.28,66.1,50.91,57.37,50.71,37.64,58.64,50.0,59.46,37.68
P090,1,70.27,44.82,54.79,64.03,58.88,58.19,51.44,55.15,58.52,58.24,70.59,58.38,55.99,64.34,50.96,72.77,45.9,56.55,47.07,53.5
P091,0,49.33,57.07,47.51,41.05,46.17,48.7,49.27,57.79,41.87,51.2,55.19,68.79,54.43,55.45,54.28,44.21,54.45,36.35,45.16,62.44
P092,0,80.12,53.88,60.26,73.85,65.27,72.36,57.44,56.76,72.86,47.83,58.46,58.04,70.25,65.56,46.14,67.76,47.82,63.15,53.92,57.77
P093,1,60.18,67.18,70.62,44.05,56.35,48.46,43.41,41.43,62.66,62.03,64.61,50.83,56.23,41.43,50.67,54.49,60.54,60.72,36.67,46.24
P094,0,55.08,45.19,45.7,38.81,23.21,51.18,48.38,53.21,50.11,35.02,42.66,39.27,48.48,40.08,26.27,51.34,51.95,48.63,54.01,44.21
P095,0,51.43,38.76,42.08,48.48,39.8,44.48,44.26,59.16,44.89,53.35,51.5,45.6,42.29,57.03,54.16,50.9,33.45,59.52,49.11,47.84
P096,0,45.64,48.49,49.0,54.19,44.51,52.57,52.93,50.01,43.24,40.94,54.3,46.34,50.57,43.12,48.17,38.44,44.21,51.62,54.28,40.18
P097,1,51.52,62.86,69.45,67.02,62.82,67.94,63.19,60.14,66.79,60.31,56.17,52.57,62.41,46.97,62.92,57.92,72.03,61.9,61.2,72.76
P098,1,65.14,59.24,67.0,49.45,50.73,48.99,45.56,56.29,60.45,56.15,39.12,70.74,49.23,39.82,58.22,80.48,47.57,60.27,51.19,68.47
P099,0,51.56,45.87,51.71,49.67,46.41,56.17,35.81,43.14,51.7,51.91,36.37,39.98,49.38,60.46,64.24,47.08,53.48,44.11,63.44,60.86
P100,1,56.73,39.46,45.75,43.53,51.28,59.55,46.53,53.62,45.71,44.83,59.27,61.1,51.46,48.86,54.36,50.94,53.93,49.19,46.84,43.06
P101,0,45.89,43.56,38.39,43.15,32.68,35.86,52.45,30.35,41.04,46.98,42.05,28.61,59.25,43.97,60.68,50.73,29.44,36.31,47.07,42.99
P102,1,48.4,63.14,68.5,59.84,56.03,51.44,65.08,39.98,57.87,69.94,57.04,54.24,72.63,51.57,64.62,46.97,71.67,72.97,57.57,61.92
P103,0,65.43,56.08,62.06,53.27,65.51,54.57,64.28,48.4,55.71,49.89,67.11,53.11,59.6,54.95,54.96,60.51,59.82,59.39,54.97,57.83
P104,1,57.32,60.41,64.33,44.43,64.01,60.01,61.11,68.43,57.13,61.86,58.5,51.62,53.46,44.96,38.7,39.56,64.71,48.65,57.51,57.51
P105,1,73.99,75.77,62.0,59.85,57.36,52.54,63.11,71.89,68.68,59.25,56.43,59.42,63.16,64.05,70.75,69.07,52.64,63.71,74.58,62.52
P106,0,40.44,45.28,55.37,48.01,35.05,39.89,43.6,30.52,45.77,52.01,47.29,45.05,32.0,43.03,38.15,43.22,42.16,35.14,41.59,46.24
P107,1,36.55,44.45,36.49,50.82,53.38,49.45,35.26,55.54,49.31,35.48,50.63,52.44,30.78,36.54,47.98,38.48,52.98,37.0,41.75,51.56
P108,0,35.58,51.38,30.99,52.18,45.66,67.97,54.58,59.79,66.32,49.18,32.6,65.0,40.98,41.36,34.02,49.1,45.22,60.42,46.74,51.79
P109,1,63.94,62.52,51.64,57.56,58.04,73.47,55.98,67.36,72.27,54.89,62.35,72.69,65.39,59.04,63.4,61.48,66.72,70.04,55.28,54.71
P110,1,64.8,43.56,53.58,53.73,54.03,47.55,57.24,53.38,72.94,40.8,52.07,56.82,49.17,43.56,65.17,39.85,47.2,41.95,53.43,41.24
P111,1,29.55,31.78,41.45,19.18,43.91,34.45,32.68,46.2,29.33,28.48,57.12,46.33,36.87,41.92,32.69,38.49,34.07,26.55,19.8,39.46
P112,1,67.57,70.67,48.35,43.17,73.6,65.42,48.58,49.42,64.88,60.69,65.16,65.92,64.54,57.5,68.59,53.78,47.09,65.47,69.21,66.97
P113,1,42.5,47.68,51.08,33.98,45.59,56.63,64.68,33.75,55.03,55.91,62.18,55.24,44.79,58.98,33.31,47.27,52.47,50.43,46.43,46.75
P114,1,47.17,44.64,52.94,39.49,52.78,35.9,57.34,52.12,39.94,51.82,56.77,38.71,50.51,37.72,51.08,51.31,45.48,59.89,45.84,51.97
P115,1,43.78,71.49,35.6,53.71,62.48,52.92,39.33,41.93,46.82,44.29,61.17,54.21,50.23,48.31,56.26,68.97,37.9,50.24,44.08,60.6
P116,0,42.0,52.93,55.26,56.51,56.69,39.56,41.46,56.31,63.0,53.01,51.31,51.02,54.98,46.89,48.33,68.54,33.84,45.78,59.16,68.59
P117,1,47.53,54.85,58.18,42.41,38.81,41.7,55.5,49.31,52.7,57.56,50.73,51.79,49.91,51.25,50.82,53.03,55.45,52.39,44.43,49.33
P118,1,64.14,59.05,57.19,56.77,52.3,39.9,61.09,54.6,38.0,47.12,52.07,52.89,55.11,58.39,63.6,55.73,34.67,43.87,52.02,45.78
P119,1,40.47,41.69,56.43,41.96,38.89,27.04,42.03,25.29,50.14,44.27,56.85,46.15,43.16,39.24,67.82,44.78,59.72,39.79,44.25,49.59
P120,0,61.52,46.08,55.32,50.22,40.4,44.94,43.33,72.53,51.48,59.25,54.27,52.74,52.22,52.42,46.21,39.4,54.32,57.81,58.18,36.98
P121,1,40.29,40.78,41.95,44.37,56.55,54.52,38.34,30.79,54.1,39.42,43.5,38.61,54.14,39.25,53.19,30.98,53.56,40.33,54.45,47.69
P122,0,52.15,53.98,46.51,53.3,45.16,53.91,29.74,45.34,52.04,35.13,41.72,55.52,40.59,59.2,53.24,43.56,64.74,43.04,46.06,55.86
P123,1,63.18,57.8,38.5,45.57,58.32,64.29,53.65,51.14,59.18,57.79,43.24,54.75,51.7,39.93,51.73,53.31,50.0,35.9,41.28,38.34
P124,0,40.21,55.8,44.25,50.4,47.76,52.74,57.64,63.6,39.27,49.43,44.4,52.43,54.39,35.69,54.78,39.13,48.55,45.42,58.89,55.36
P125,0,51.81,66.62,46.71,70.57,61.76,57.52,61.3,51.76,53.94,50.95,49.8,74.16,59.19,65.62,56.45,59.72,67.64,53.35,63.24,57.18
P126,1,39.32,50.86,64.48,47.91,48.18,67.53,57.24,63.1,35.52,48.82,43.92,41.8,58.92,44.89,49.44,50.69,62.91,33.72,54.55,48.35
P127,1,51.35,56.1,66.52,56.21,46.75,76.54,54.04,64.3,55.59,46.49,55.19,71.36,55.08,57.11,60.69,49.85,58.83,65.15,49.21,48.44
P128,1,40.95,44.48,25.84,52.99,53.1,55.71,47.85,68.94,59.96,58.19,62.13,44.51,37.01,51.73,45.39,53.8,60.75,60.49,42.1,43.71
P129,0,56.36,69.29,62.59,56.61,57.69,64.57,64.24,69.1,56.97,69.19,45.31,65.69,60.92,68.53,66.07,56.47,56.48,55.52,57.77,56.26
P130,1,62.28,62.69,52.24,52.39,43.64,56.1,54.08,43.74,41.17,40.4,61.88,50.93,57.9,49.13,50.84,44.59,39.06,55.97,65.25,47.4
P131,0,60.49,51.19,51.91,67.3,49.85,51.37,62.93,50.9,51.07,52.71,56.4,50.09,67.8,55.12,58.7,55.69,51.21,63.38,52.75,44.0
P132,0,55.57,41.74,41.4,48.46,51.38,66.96,43.64,54.51,45.43,57.28,39.65,38.99,55.85,37.19,33.7,45.14,38.95,46.36,50.16,51.81
P133,0,29.69,36.13,57.16,56.9,50.96,47.92,40.32,43.94,52.27,53.86,58.45,52.7,73.68,46.0,42.94,60.97,66.17,36.99,44.08,70.46
P134,0,51.86,57.31,46.41,49.75,51.95,59.18,47.31,62.68,51.61,64.97,55.0,53.47,34.05,45.65,61.18,53.07,53.33,57.53,54.45,53.68
P135,1,57.5,61.54,30.81,76.27,45.48,53.73,52.67,56.26,49.36,31.84,52.14,73.5,52.44,54.31,50.79,51.2,48.4,57.97,48.0,44.03
P136,0,54.85,36.74,44.86,60.89,49.01,41.24,45.89,57.53,49.68,50.97,55.59,55.99,65.49,41.58,50.59,60.62,68.12,58.32,54.98,62.13
P137,0,56.42,48.48,46.28,41.22,35.57,55.4,63.65,30.93,49.85,45.22,34.55,53.48,35.87,48.73,38.16,37.39,47.59,48.72,50.83,57.11
P138,1,49.38,58.24,53.84,52.4,58.66,39.3,50.95,67.21,49.55,49.81,44.39,46.9,56.29,53.44,49.65,40.27,51.82,29.36,57.34,66.69
P139,0,40.58,33.65,61.6,27.57,44.8,50.79,29.32,28.9,43.23,41.23,49.03,42.59,54.87,40.63,35.86,36.81,57.36,46.52,33.23,40.73
P140,0,47.62,54.62,64.92,51.74,44.34,43.58,53.27,42.48,49.25,55.77,51.78,67.5,41.98,63.05,54.55,65.14,52.38,52.49,52.28,45.09
P141,0,52.99,58.93,53.62,53.83,53.35,61.0,54.74,42.11,51.95,66.16,49.29,61.32,66.69,55.2,56.37,60.84,55.84,50.72,45.88,70.15
P142,1,63.21,43.79,57.3,51.34,60.38,57.64,56.67,52.51,57.93,61.42,60.6,52.06,53.51,58.65,59.65,54.49,54.03,53.38,55.98,63.16
P143,1,56.19,49.28,48.31,35.64,34.77,38.08,45.33,58.05,50.43,42.44,44.4,63.55,50.02,42.29,43.71,41.08,78.7,41.72,43.88,49.04
P144,0,42.34,34.17,33.51,40.16,30.96,40.94,41.54,34.6,39.68,37.32,39.26,36.45,49.74,37.89,46.72,31.17,46.14,49.97,35.16,29.71
P145,1,52.91,53.8,51.99,55.49,49.57,42.77,62.08,56.59,47.13,56.31,47.71,46.14,60.91,65.85,48.62,44.56,46.39,59.33,45.14,47.79
P146,0,32.79,65.42,54.85,50.46,39.05,45.71,62.24,51.79,45.34,53.18,59.1,31.67,40.5,62.8,49.16,67.08,64.22,59.37,62.6,58.12
P147,0,44.31,29.3,43.93,55.46,55.64,60.68,58.47,31.05,46.55,46.55,38.82,41.12,38.3,46.6,43.17,22.22,37.48,47.2,36.51,62.49
P148,0,60.13,67.3,45.72,60.92,62.74,56.09,72.59,79.57,59.88,66.23,61.77,65.68,49.75,69.39,62.06,58.68,58.27,60.07,59.47,69.39
P149,0,41.08,49.76,49.64,49.03,68.82,37.03,59.72,67.58,46.42,51.59,54.03,55.39,45.63,72.46,64.75,60.02,68.41,56.59,49.54,55.68
P150,0,49.07,50.31,38.93,63.65,59.97,52.67,37.77,50.0,42.38,59.7,29.02,51.42,51.78,38.2,62.99,37.22,63.73,43.61,46.85,53.63
P151,0,53.96,51.1,46.58,57.43,62.39,51.91,46.4,61.43,50.95,36.13,58.58,54.27,60.01,54.05,42.36,59.22,50.79,44.81,65.29,52.81
P152,1,66.04,64.78,39.57,50.85,67.07,47.8,62.82,47.9,34.33,38.73,51.37,49.87,71.67,60.83,55.25,44.3,57.67,50.56,45.89,49.94
P153,0,36.69,53.98,49.8,57.61,53.25,37.08,59.55,45.39,40.72,44.2,45.29,36.5,24.56,41.59,48.07,32.56,48.99,28.12,31.67,53.38
P154,1,50.02,46.25,33.69,27.74,42.73,41.99,57.09,44.9,34.94,34.43,45.65,43.81,50.92,40.01,46.81,35.34,27.48,23.38,51.97,33.98
P155,1,52.0,30.84,56.18,62.79,47.95,47.87,57.32,61.36,62.03,48.25,46.01,44.88,55.59,65.64,67.12,46.85,54.85,46.32,67.42,64.81
P156,0,47.43,41.34,64.53,59.4,58.9,69.74,74.5,48.09,55.81,54.14,61.76,53.78,38.12,49.6,53.99,56.92,64.8,54.65,53.16,56.73
P157,1,63.78,68.71,55.86,59.37,74.5,68.55,39.48,54.49,48.55,69.92,58.06,56.15,56.98,68.9,62.07,55.1,64.57,50.04,59.52,58.59
P158,0,55.01,35.63,60.07,50.9,46.54,63.79,44.44,43.94,53.82,55.28,54.07,55.48,46.75,46.41,56.98,66.2,53.23,64.61,52.84,72.97
P159,1,46.24,46.0,51.81,44.71,65.11,34.0,33.8,47.12,55.99,40.17,45.98,40.78,46.58,30.13,41.83,39.65,59.72,60.4,40.0,50.02
P160,0,42.57,51.86,54.07,45.01,52.83,42.71,42.94,43.46,40.54,50.27,49.88,46.66,52.9,55.75,35.44,41.48,51.09,57.89,37.17,55.34
P161,0,53.67,63.62,41.19,50.35,42.46,47.13,62.96,38.23,50.9,46.03,49.96,61.55,47.11,52.24,42.36,43.88,38.66,46.66,68.23,35.46
P162,0,42.16,49.68,48.43,56.92,52.96,58.46,35.93,57.39,42.06,60.15,51.97,54.85,43.58,39.21,48.89,44.99,54.82,54.33,66.72,50.35
